Winner,Looser,Round,Remaining_Health,wasAgainstAI,wasWinnerAI,dateTime
DavidCheater,DavidCheated,1,17,false,false,2020-08-21T14:51:53.784616
David,David,17,8,false,false,2020-08-21T14:55:28.962918
David,David,1,17,false,false,2020-08-21T17:11:28.458091
David,David,18,1,false,false,2020-08-21T17:13:07.341135
David,David,1,17,false,false,2020-08-21T17:16:30.443977
David,David,1,17,false,false,2020-08-21T17:19:23.901184
David,David,1,17,false,false,2020-08-21T17:20:28.155496
David,David,1,17,false,false,2020-08-21T17:20:31.065230
David,David,1,17,false,false,2020-08-21T17:24:53.037111
David,David,1,17,false,false,2020-08-21T17:32:25.976520
David,David,1,17,false,false,2020-08-21T17:59:51.651815
David,David,18,15,false,false,2020-08-21T18:01:20.228757
